Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Federación Argentina de Librerías, Papelerías y Actividades Afines;FALPA;22/12/1994;NO;NO;NO;NO;Vigente;19/6/2027;García Abdelnur Joge Octavio;19/6/2027;30685432990;BAJA DE OFICIO;;;Córdoba;General Paz; VIAMONTE 566 (CP X5004AUL) GENERAL PAZ, Córdoba  
Federación Argentina de Parques Industriales;FAPI;15/11/2016;Si;SI;NO;SI;Vencida;31/7/2021;Alfredo Pascual Cecchi;31/7/2021;30717322181;OK;SI;15/11/2016;CABA;; LEANDRO N. ALEM 452 2 (CP ) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Supermercados y Autoservicios;FASA;1/9/2009;Si;SI;SI;SI;Vencida;12/5/2026;Ricardo Alberto Zorzón;12/5/2024;30679876909;OK;;;CABA;; VIAMONTE 342 Piso 3 (CP 1053) Ciudad Autónoma de Buenos Aires  
Federación Argentina del Comercio en Artefactos para el Hogar y Afines;FACAHOGAR;30/7/2009;Si;NO;SI;SI;Vigente;15/11/2024;José Alfredo Lilino;15/11/2025;30688257138;OK;;;CABA;; SANTA FE 2819 (CP 3000) Ciudad Autónoma de Buenos Aires  
Federación Comercial de la Provincia de Córdoba;FEDECOM;00/00/0000;Si;SI;SI;SI;Vigente;18/5/2025;Fausto Brandolín;18/5/2025;30680949952;OK;;;Córdoba;Cordoba;Av. La Voz del Interior 7000, Ciudad Empresaria, Edificio Miragolf, Nivel III - Córdoba
Federación de Asociaciones y Cámaras del Comercio Automotor de la República Argentina;FACCARA;12/8/1999;Si;SI;SI;SI;Vigente;30/11/2024;Alejandro Marcelo Lupo;30/11/2024;30683381833;OK;;;CABA;; JULIAN ALVAREZ 1283 (CP 1414) Ciudad Autónoma de Buenos Aires  
Federación de Cámaras de Comercio e Industria Zona Norte de la Provincia de Buenos Aires;FENORBA;00/00/0000;NO;NO;NO;NO;Vencida;30/3/2019;Carlos Arturo Boyadjian;30/3/2019;30688287138;CUIT ERRONEO;;;Buenos Aires;Pergamino; FLORIDA 821 (CP 2700) PERGAMINO, Buenos Aires  
Federación de Cámaras de Lavaderos de Ropa, Limpierías y Afines de la República Argentina;FEDELARA;8/1/2004;NO;NO;SI;NO;Vencida;31/12/2019;Hector Ricardo Andrelo;31/12/2019;30702176499;BAJA DE OFICIO;;;CABA;; Juramento 1475 9 Of. 7 (CP 1428) Ciudad Autónoma de Buenos Aires  
Federación de Cámaras de Turismo de la República Argentina;FEDECATUR;19/10/2006;Si;SI;SI;SI;Vencida;30/6/2024;Héctor José Viñuales Santafé;30/7/2024;30697217823;OK;;;Tucumán;San Miguel De Tucuman; San Lorenzo 378 4 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Federación de Centros Comerciales a Cielo Abierto, Cascos Urbanos y Centros Históricos;FCCA;00/00/0000;Si;SI;SI;SI;Vencida;13/12/2023;Carlos Mario Cappelletti (Vice);30/4/2024;30707881700;OK;;;CABA;; AVENIDA LEANDRO N. ALEM 452 PISO 2Â° (CP 1003) Ciudad Autónoma de Buenos Aires    
Federación de Centros Comerciales de la Provincia de Santa Fe;FeCeCo;9/6/2011;SI;SI;SI;SI;Vigente;1/4/2025;Leandro Aglieri;1/4/2025;30710931220;OK;;;Santa Fe;Santa Fe; Rivadavia 2899 (CP 3000) SANTA FE, Santa Fe  
Federación de Comercio e Industria de la Ciudad de Buenos Aires;FECOBA;00/00/0000;SI;SI;SI;SI;Vigente;30/6/2025;Fabián Xavier Castillo;30/6/2025;30534466516;OK;;;CABA;; FLORIDA 15 3 (CP 1005) Ciudad Autónoma de Buenos Aires  
Federación de Comercio e Industria de San Nicolás de los Arroyos;FEDCI;00/00/0000;Si;NO;SI;NO;Vencida;30/7/2024;José Luis Zanini;30/7/2024;30527128702;OK;;;Buenos Aires;San Nicolas; JUSTO JOSE DE URQUIZA 32 (CP 2900) SAN NICOLAS, Buenos Aires  
Federación de Cooperativas Apícolas de Entre Ríos;FECAER;14/9/2017;NO;SI;SI;SI;Vencida;1/7/2024;Gustavo Fernando Sack;1/7/2024;30715190512;OK;;;Entre Ríos;Rosario Del Tala; San Martin 353 (CP 3174) ROSARIO DEL TALA, Entre Ríos  
Federación de Cooperativas FEDCOOP Ltda.;FEDCOOP;23/9/2015;NO;SI;SI;SI;Vencida;30/6/2018;Roberto Alejandro Jerez;30/6/2018;30714175242;OK;;;Santiago del Estero;Santiago Del Estero; 12 DE OCTUBRE 219 (CP 4200) SANTIAGO DEL ESTERO, Santiago del Estero  
Federación de Empresas y Entidades del Comercio, Servicios, Industria y Producción de Bariloche y Zona Andina;FEEBA;10/4/1993;Si;SI;SI;SI;Vigente;31/12/2024;Leonardo Marcasciano;31/12/2024;30672955730;OK;;;Río Negro;San Carlos De Bariloche; ADA MARIA ELFLEIN 322 1 (CP 8400) SAN CARLOS DE BARILOCHE, Río Negro  
Federación de Entidades de la Economía Social de San Luis;FEES;23/5/2012;NO;SI;NO;SI;Vencida;31/12/2016;Gustavo Bertolini;31/12/2016;0;SIN CUIT;SI;18/04/2012;San Luis;San Luis; MAIPU 721 1º 2º (CP 5700) SAN LUIS, San Luis  
Federación de Entidades Empresarias de Informes Comerciales de la República Argentina;FEEICRA;16/10/2007;Si;SI;SI;SI;Vigente;24/8/2021;Roberto Marcelo Mendez;29/12/2025;30707590323;OK;;;CABA;CABA;Sarmiento 747, Piso 3º Dpto. 17
Federación de Entidades Empresarias de Río Negro;FEERN;00/00/0000;Si;SI;SI;SI;Vigente;3/8/2026;Walter Abel Sequeira;3/8/2026;30689601398;OK;;;Río Negro;Choele Choel; AVENIDA SAN MARTIN 1045 (CP 8360) CHOELE CHOEL, Río Negro  
Federación de Entidades Empresarias Neuquinas;FEEN;22/4/1985;Si;SI;SI;SI;Vencida;26/7/2025;Fernando Zurita;31/12/2021;30650117790;OK;;;Neuquén;Zapala; EJERCITO ARGENTINO 359 (CP 8340) ZAPALA, Neuquén  
Federación de PYMES de la Construcción de la Provincia de Buenos Aires;FEPYCON;4/4/2013;NO;SI;NO;SI;Vencida;30/12/2018;Gustavo Serafín Marin;30/12/2018;30711212686;BAJA DE OFICIO;;;Buenos Aires;La Plata; Calle 11 e/ 59 y 60 1321 (CP 1900) LA PLATA, Buenos Aires  
Federación de Viñateros y Productores Agropecuarios de San Juan;FVPA;14/7/2011;NO;SI;SI;SI;Vencida;31/7/2023;Eduardo Roberto Garcés;31/7/2023;30681641285;BAJA DE OFICIO;;;San Juan;San Juan; Caseros-Norte- 185 (CP 5400) SAN JUAN, San Juan  
Federación del Citrus de Entre Ríos;FeCIER;21/5/2013;Si;SI;SI;SI;Vigente;10/05/2024;Zorzi Melania Evangelina;30/5/2025;30670907720;OK;;;Entre Ríos;Concordia; Entre Rios 387 (CP 3200) CONCORDIA, Entre Ríos  
Federación del Nucleamiento Empresarial del Noroeste Bonaerense;;5/9/2017;NO;SI;SI;SI;Vigente;4/9/2025;Daniel Eduardo Reus;26/8/2025;30712259953;OK;;;Buenos Aires;Junin; 25 de Mayo 65 1 (CP 6000) JUNIN, Buenos Aires  
Federación Económica de Catamarca;FEC;1/2/2018;Si;SI;SI;SI;Vigente;31/5/2026;Eduardo Marcelo Coll;31/5/2026;33564972369;OK;;;Catamarca;San Fernando Del Valle De Catamarca; República 1024 (CP 4700) SAN FERNANDO DEL VALLE DE CATAMARCA, Catamarca  
Federación Económica de Corrientes;FEC;29/6/2016;Si;SI;SI;SI;Vigente;31/12/2025;Jorge Francisco Gomez;31/12/2025;30563546707;OK;;;Corrientes;Corrientes; 25 DE MAYO 1429 (CP 3400) CORRIENTES, Corrientes  
Federación Económica de Entre Ríos;FEDER;24/4/1987;SI;SI;SI;SI;Vigente;31/12/2023;Silvio Farach;31/12/2026;30671181197;OK;;;Entre Ríos;Parana; 25 DE MAYO 28 2 (CP 3100) PARANA, Entre Ríos  
Federación Económica de Formosa;FEF;17/3/2011;NO;SI;SI;SI;Vencida;3/4/2023;Enrique Zanín;18/12/2023;30543133473;OK;;;Formosa;Formosa; España 466 (CP 3660) FORMOSA, Formosa  
Federación Económica de la Provincia de Buenos Aires;FEBA;00/00/0000;SI;SI;SI;SI;Vencida;15/12/2022;Camilo Alberto Kahale;15/12/2022;30534479200;OK;;;Buenos Aires;; Calle 56 338 1 A (CP ) LA PLATA, Buenos Aires   Av. de Mayo 981 3Â° (CP 1084) Ciudad Autónoma de Buenos Aires  
Federación Económica de la Provincia de Santa Cruz;FESC;10/7/2008;Si;SI;SI;SI;Vigente;31/12/2024;Guillermo Esteban Polke;31/12/2024;30710744927;OK;;;Santa Cruz;Rio Gallegos; Av. Kirchner 1012 1 A (CP 9400) RIO GALLEGOS, Santa Cruz     Posadas 424 (CP 9400) RIO GALLEGOS, Santa Cruz  
Federación Económica de Mendoza;FEM;14/07/2017;Si;SI;SI;SI;Vigente;14/4/2025;Santiago Laugero;13/6/2025;30676344353;OK;;;Mendoza;Mendoza; PEDRO MOLINA 471 (CP 5500) MENDOZA, Mendoza  
Federación Económica de San Juan;FESJ;00/00/1983;Si;SI;SI;SI;Vencida;27/9/2020;Dino Esteban Minnozzi;1/6/2024;30673324831;OK;;;San Juan;San Juan; Av. Libertador Este 575 (CP 5400) SAN JUAN, San Juan  
Federación Económica de Tucumán;FET;00/00/0000;Si;SI;SI;SI;Vigente;31/8/2024;Héctor José Viñuales Santafé;11/12/2027;30534008267;OK;;;Tucumán;San Miguel De Tucuman; SAN MARTIN 427 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Federación Económica del Chaco;FECHACO;00/00/0000;SI;SI;SI;SI;Vigente;15/11/2023;Ernesto Oscar Scaglia;15/11/2024;30534323995;OK;;;Chaco;Resistencia; JUAN DOMINGO PERON 111 2 (CP 3500) RESISTENCIA, Chaco  
Federación Empresaria de La Matanza;FEM;00/00/0000;NO;NO;SI;NO;Vencida;30/12/2023;Claudio Antonio Pugliese;30/6/2024;33694115689;OK;;;Buenos Aires;San Justo; Peru 2054 (CP 1754) SAN JUSTO, Buenos Aires  
Federación Empresaria de La Plata;FELP;16/3/2000;Si;SI;SI;SI;Vigente;6/9/2025;Alejandro Luciano Guanzetti;6/9/2025;30708517395;OK;;;Buenos Aires;La Plata; calle 12 esquina 42 499 (CP 1902) LA PLATA, Buenos Aires  
Federación Empresaria del Chubut;FECH;28/07/2014;Si;SI;SI;SI;Vigente;31/10/2022;Carlos Lorenzo;18/12/2024;30707735852;OK;;;Chubut;Puerto Madryn; RIVADAVIA 452 (CP 9000) PUERTO MADRYN, Chubut  
Federación Empresaria Hotelera Gastronómica de la República Argentina;FEHGRA;8/6/2007;NO;NO;SI;SI;Vencida;19/11/2023;Carlos Fernando Desbots;19/11/2023;30535807775;OK;;;CABA;; LARREA 1250 (CP 1117) Ciudad Autónoma de Buenos Aires  
Federación Empresarial de Corrientes;FECORR;13/8/2009;NO;SI;SI;NO;Vencida;8/10/2020;Ingaramo Gustavo;31/12/2022;30710257538;OK;;;Corrientes;Corrientes; San Luis 867 (CP 3400) CORRIENTES, Corrientes  
Federación Inmobiliaria de la República Argentina;FIRA;14/8/2014;Si;SI;SI;SI;Vigente;1/11/2024;Emilio Caravaca Pazos;30/11/2024;30708336102;OK;;;CABA;CABA;Av. Leandro N. Alem 452
Federación Olivícola de Argentina;FOA;21/11/2018;NO;SI;SI;SI;Vencida;13/11/2022;Patricia Calderon;13/11/2022;30711074526;OK;;;CABA;; Avda. Roque Saenz Peña 615 5 Of. 520 (CP 1035) Ciudad Autónoma de Buenos Aires  
Federación Productores de Fruta de Río Negro y Neuquén;FPF de RNyNQN;3/12/2009;NO;NO;SI;SI;Vencida;31/12/2021;Sebastián Ricardo Hernández;31/12/2021;30689559669;OK;;;Río Negro;Cipolletti; 9 DE JULIO 1030 (CP 8324) CIPOLLETTI, Río Negro  
Fundación Caballos Argentinos;FCA;5/11/2009;NO;NO;NO;NO;Vencida;1/1/2021;Mario López Oliva;1/1/2021;30710842988;BAJA DE OFICIO;;;Corrientes;Corrientes; CARLOS PELLEGRINI 1259 PISO 9Â° (CP 3400) CORRIENTES, Corrientes  
Instituto de Jóvenes Empresarios de Federación Económica del Chaco;FECHACO Joven;30/7/2009;NO;NO;NO;NO;Vencida;13/6/2024;Alexis Sánchez;13/6/2024;0;SIN CUIT;SI;28/07/2009;Chaco;Resistencia; JUAN DOMINGO PERÓN 111 PISO 2Â° (CP 3500) RESISTENCIA, Chaco  
Instituto Latinoamericano de Trazabilidad;ILT;27/6/2018;NO;SI;NO;SI;Vencida;31/1/2024;Esteban Scaramella;31/1/2024;30715662969;CUIT ERRONEO;;;CABA;; Manuela Pedraza 1868 1 (CP 1429) Ciudad Autónoma de Buenos Aires  DIREC. POSTAL  
Liga de Comercio e Industria de Las Flores;;26/3/1982;NO;NO;SI;NO;Vencida;1/1/2021;Carlos Cattorini;1/1/2021;30542580662;OK;;;Buenos Aires;Las Flores; SAN MARTIN 393 (CP 7200) LAS FLORES, Buenos Aires  
Liga del Comercio y la Industria de San Martín;LCISM;00/00/0000;Si;SI;SI;SI;Vigente;30/10/2024;Juan Roberto Arevalo;31/10/2024;33525987049;OK;;;Buenos Aires;San Martin (pdo. Gral. San Martin); Calle 81 (Ex Sarmiento) 2051 (CP 1650) SAN MARTIN (PDO. GRAL. SAN MARTIN), Buenos Aires  
Primer Centro de Comerciantes, Vecinos, Instituciones y Profesionales de Liniers;CE.CO.V.I.P. LINIERS;13/8/2009;NO;NO;NO;NO;Vigente;30/5/2018;Luis A. Lezcano;4/3/2025;30709307491;BAJA DE OFICIO;;;CABA;; IBARRIOLA 6864 (CP 1408) Ciudad Autónoma de Buenos Aires  
Sociedad Amigos de la Calle Paraná;;00/00/0000;NO;NO;SI;SI;Vencida;20/11/2022;Claudio Marcelo Nardini;6/10/2023;30654137737;BAJA DE OFICIO;;;Buenos Aires;Villa Adelina; PARANA 6661 - 63 (CP 1607) VILLA ADELINA, Buenos Aires  
Sociedad Argentina de Apicultores;SADA;20/11/2014;NO;SI;SI;SI;Vigente;1/8/2025;Lucas Daniel Martinez;1/8/2025;30650637638;OK;;;CABA;; AVENIDA RIVADAVIA 717 8 807 (CP 1002) Ciudad Autónoma de Buenos Aires  
Sociedad Comercio e Industria de Junín;SCIJ;21/9/2001;Si;SI;SI;SI;Vigente;30/9/2025;Marianela Mucciolo (vice a cargo) ;30/9/2024;30525900696;OK;;;Buenos Aires;Junin; 25 DE MAYO 65 (CP 6000) JUNIN, Buenos Aires  
Sociedad de Chacareros Temporarios de San Juan;SCHT;3/12/2009;NO;NO;SI;SI;Vencida;30/4/2020;Juan Carlos Giménez;30/4/2020;30657195819;OK;;;San Juan;San Juan; Progreso 668 ESTE (CP 5425) SAN JUAN, San Juan  
Sociedad de Comerciantes, Industriales, Propietarios y Afines del Partido de Pilar;SCIPA;00/00/0000;Si;SI;SI;NO;Vigente;7/4/2025;Cristian Javier Hait;7/4/2025;30594107396;OK;;;Buenos Aires;Pilar; PEDRO LAGRAVE 563 (CP 1629) PILAR, Buenos Aires  
Sociedad de Quinteros de Santa Fe;;3/12/2009;NO;SI;SI;NO;Vencida;30/9/2019;Guillermo Ramón Beckmann;30/4/2023;30709936626;OK;;;Santa Fe;Santa Fe; Ricardo Aldao 1846 (CP 3000) SANTA FE, Santa Fe  DIREC. POSTAL  
Sociedad Rural de Arroyito;SRA;29/8/2018;NO;SI;SI;SI;Vencida;15/3/2020;Javier Del Valle Gonella;15/3/2020;30635031847;OK;;;Córdoba;Arroyito; Av. Arturo Humberto Illia 396 N/C N/C N/C (CP 2434) ARROYITO, Córdoba  
Sociedad Rural de Catamarca;SRC;18/2/2010;NO;SI;SI;SI;Vencida;17/3/2023;Oscar Andreatta;17/3/2023;30707766367;OK;;;Catamarca;;" Ruta Nacional N° 38, Km 569, Colonia Nueva Coneta, Capayán, Catamarca; Código Postal: 4724 (CP ) Catamarca  "
Sociedad Rural de Córdoba;SRC;18/9/2014;NO;SI;SI;SI;Vencida;30/12/2023;Victoria Moncada;31/12/2023;30563495681;OK;;;Córdoba;Malagueño; Ruta 20 km. 17 1/2 (CP 5101) MALAGUEÑO, Córdoba  
Unión Agrícola de Avellaneda Cooperativa Ltda. - UAA CL;UAA;19/7/2012;NO;SI;SI;SI;Vigente;30/11/2025;Mario Julio Stechina;30/11/2026;30501912405;OK;;;Santa Fe;Avellaneda; Avenida San Martin 768 (CP 3561) AVELLANEDA, Santa Fe  
Unión Argentina de Aerosolistas;UADA;25/2/2016;NO;SI;SI;SI;Vigente;2/11/2023;Sebastián Giráldez;30/9/2024;33714707499;OK;;;CABA;; MAIPU 464 4 (CP 1006) Ciudad Autónoma de Buenos Aires  
Unión Comercial de Catamarca;UCC;9/1/1991;Si;SI;SI;SI;Vigente;1/12/2025;Cintia Galarza Solís;1/12/2025;30695152600;OK;;;Catamarca;San Fernando Del Valle De Catamarca; Maipú 432 (CP 4700) SAN FERNANDO DEL VALLE DE CATAMARCA, Catamarca  
Unión Comercial de Maipú;;00/00/0000;NO;NO;SI;NO;Vencida;30/6/2019;Enrique Fernández;30/6/2019;30545478346;OK;;;Mendoza;Maipu; Pres. Juan Domingo Perón 24 (CP 5515) MAIPU, Mendoza  
Unión Comercial e Industrial de Monteros;UCIM;27/2/2007;NO;NO;SI;SI;Vigente;30/9/2024;María Mercedes Monesterolo;30/9/2024;30675254474;BAJA DE OFICIO;;;Tucumán;Monteros; 25 DE MAYO 264 (CP 4142) MONTEROS, Tucumán  
Unión Comercial, Industrial y Afines de Ituzaingó;UCIADI;13/10/1998;NO;SI;SI;NO;Vigente;1/12/2024;Carlos Eraldo;1/12/2024;30566131311;OK;;;Buenos Aires;Ituzaingo; OLAZABAL 841 (CP 1714) ITUZAINGO, Buenos Aires  
Unión de Cámaras y Asociaciones de Buenos Aires en Manejo de Plagas Urbanas;UCABA;6/8/2015;NO;SI;SI;SI;Vigente;1/10/2025;Jesús Alfredo Romero;1/10/2025;30699335548;OK;;;CABA;; Pje. Juan M. Coghlan 4724 (CP ) Ciudad Autónoma de Buenos Aires  
Unión de Comerciantes e Industriales del Departamento de San Lorenzo;UCI;00/00/0000;SI;SI;SI;SI;Vigente;24/9/2023;Roberto Yacuzzi;30/6/2025;30578035849;OK;;;Santa Fe;San Lorenzo; RICCHIERI 751 1 E.P (CP 2200) SAN LORENZO, Santa Fe  
Unión de Entidades Empresariales Patagonia Sur;UEEPS;2/7/2001;NO;SI;NO;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30707739580;BAJA DE OFICIO;;;Santa Cruz;;Piedrabuena 165
Unión de Industriales Fideeros de la República Argentina;UIFRA;23/6/2021;NO;SI;SI;SI;Vigente;1/12/2024;Juan Manuel Airoldes;1/12/2024;30690173464;OK;;;CABA;CABA;PASAJE LA NAVE 1038 (CP 1424) CABA
Unión de Industriales para Saneamiento Cuencas Matanza, Riachuelo y Reconquista;UISCUMARR;14/5/2015;NO;NO;SI;NO;Vencida;30/12/2019;Aldo R. Esposito;30/12/2019;30711460728;OK;;;Buenos Aires;Lanus; MONTEVIDEO 34 (CP 1824) LANUS, Buenos Aires  
Unión de Kiosqueros de la República Argentina;UKRA;22/7/2003;NO;SI;SI;SI;Vigente;6/5/2026;Norberto Tomasino;6/5/2026;30611617689;OK;;;CABA;; SAENZ PEÑA ROQUE PRESIDENTE AVENIDA 616 4 412 (CP ) Ciudad Autónoma de Buenos Aires  
Unión de Propietarios de Talleres de Reparación de Automóviles;UPTRA;25/6/2010;NO;NO;NO;NO;Vencida;30/12/2023;Nicolas Doura;30/12/2023;30677957529;BAJA DE OFICIO;;;Buenos Aires;Ensenada; SAAVEDRA 543 (CP 1925) ENSENADA, Buenos Aires  
Unión del Comercio y la Industria de Villa Gesell;UCI;31/3/1993;Si;SI;SI;SI;Vigente;19/8/2026;Alejandra Guadagnino;19/8/2026;30667810716;OK;;;Buenos Aires;Villa Gesell; AVENIDA BUENOS AIRES 746 Local (CP 7165) VILLA GESELL, Buenos Aires  
Unión del Comercio, la Industria y Producción de Mar del Plata;UCIP;00/00/0000;SI;SI;SI;SI;Vigente;30/10/2025;Juan Blas Taladrid;30/10/2025;30528838606;OK;;;Buenos Aires;Mar Del Plata; AVENIDA LURO 3030 (CP 7600) MAR DEL PLATA, Buenos Aires  
Unión Empresarial del Partido de Moreno;UEM;17/4/2001;Si;SI;SI;SI;Vencida;31/12/2021;Salvador Femenía;31/12/2021;30658224278;OK;;;Buenos Aires;Moreno; AVENIDA VICTORICA 1128 (CP 1744) MORENO, Buenos Aires  
Unión Empresarios de Jujuy;UEJ;00/00/0000;Si;SI;SI;SI;Vigente;30/12/2024;Luis Alberto Alonso;30/12/2024;30533726174;OK;;;Jujuy;San Salvador De Jujuy; BELGRANO 860 1 (CP 4600) SAN SALVADOR DE JUJUY, Jujuy  
Unión Entidades PYME de Entre Ríos;UEPER;10/12/2009;NO;SI;NO;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;0;SIN CUIT;;;Entre Ríos;Concordia; La rioja 622 (CP 3200) CONCORDIA, Entre Ríos  
Unión Industrial de Berazategui;UIB;00/00/0000;NO;NO;SI;NO;Vencida;30/9/2019;Gabriel Leiter;30/9/2019;30594084353;OK;;;Buenos Aires;Berazategui; CALLE 15 ENTRE 139 Y 140 3952 (CP 1884) BERAZATEGUI, Buenos Aires  
Unión Industrial de La Pampa;UNILPA;19/4/2009;NO;SI;SI;SI;Vencida;31/12/2023;Nicolás Grundnig;31/12/2023;30642164720;OK;;;La Pampa;General Pico; CALLE 15 1532 (CP 6360) GENERAL PICO, La Pampa  
Unión Industrial de Palpalá;UIP;23/9/2003;NO;SI;NO;SI;Vencida;31/12/2019;Ricardo Oviedo;31/12/2019;30710758251;BAJA DE OFICIO;;;Jujuy;Palpala; CONGRESO (esq. ALVEAR) 500 (CP 4612) PALPALA, Jujuy  
Unión Industrial de Quilmes;UIQ;15/5/2014;Si;SI;SI;SI;Vigente;30/6/2023;Horacio Castagnini;1/4/2025;30585365390;OK;;;Buenos Aires;Quilmes; ALVEAR 867 (CP 1878) QUILMES, Buenos Aires  
Unión Industrial de Santa Fe;UISF;9/2/2014;Si;SI;SI;SI;Vigente;1/8/2024;Alejandro César Taborda;1/8/2024;30521386491;OK;;;Santa Fe;Santa Fe; 25 DE MAYO 2843 (CP 3000) SANTA FE, Santa Fe  
Unión Industrial de Santiago del Estero;UISDE;18/6/2009;NO;NO;SI;NO;Vencida;30/3/2020;José María Cantos (h);30/3/2020;30708947233;OK;;;Santiago del Estero;La Banda; avenida 2 de septiembre s/n (CP 4300) LA BANDA, Santiago del Estero  
Unión Industrial de Tigre;UIT;2/3/2017;NO;NO;SI;NO;Vigente;1/1/2025;Gabriel Duranti;1/1/2025;30643265628;OK;;;Buenos Aires;Don Torcuato; Av. Belgrano 3047 (CP 1611) DON TORCUATO, Buenos Aires  
Unión Industrial del Conurbano Norte;UICON;1/7/2010;NO;SI;NO;SI;Vencida;31/12/2016;Dora Gloria Jáuregui;31/12/2016;0;SIN CUIT;SI;28/06/2010;Buenos Aires;Martinez; Alvear 9 1 (CP 1640) MARTINEZ, Buenos Aires  
Unión Industrial del Oeste;UIO;19/4/2004;SI;NO;SI;SI;Vigente;31/12/2025;Edgardo Gámbaro;31/12/2025;30610202450;OK;;;Buenos Aires;Haedo; TRES ARROYOS 329 (CP 1706) HAEDO, Buenos Aires  
Unión Industrial del Sur de Córdoba;UISCO;9/6/2011;NO;SI;NO;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30710294395;BAJA DE OFICIO;;;Córdoba;Rio Cuarto; Buenos Aires 443 (CP X5800DJN) RIO CUARTO, Córdoba  
Unión Industrial Florencio Varela;UIFV;19/3/2015;NO;SI;SI;SI;Vigente;31/3/2027;Antonio Orlando Da Costa;31/3/2027;33653467929;OK;;;Buenos Aires;Florencio Varela; CONTRERAS 27 (CP 1888) FLORENCIO VARELA, Buenos Aires  
Unión Industrial Región Rosario;UNIRR;1/8/2018;Si;SI;SI;SI;Vigente;13/3/2025;Román Guajardo;13/3/2025;30716052849;OK;;;Santa Fe;Rosario; ESPAÑA 848 (CP 2000) ROSARIO, Santa Fe  
Unión Regional de Industriales de Pilar;URIP;20/10/2011;NO;SI;NO;SI;Vencida;30/12/2019;Patricio Colombo;30/12/2019;0;SIN CUIT;SI;40808;Buenos Aires;Pilar; Pedro Lagrave 563 (CP 1629) PILAR, Buenos Aires  
Federación de Almaceneros Minoristas, Autoservicios y Afines de la Provincia de Buenos Aires;FABA;7/2/2024;NO;SI;SI;SI;Vigente;31/12/2025;Jose Candiota;31/12/2025;30585114196;ERROR CUIT;SI;;CABA;CABA;Constitucion 2192 (CP 1254), CABA
Federación Argentina de la Industria Maderera y Afines;FAIMA;7/2/2024;NO;SI;SI;SI;Vencida;30/4/2025;Román Queiroz;30/4/2024;30530680335;OK;SI;1/2/2024;CABA;CABA;Av. Belgrano 355, Piso 5º (CP 1092), CABA 
Federación de Asociaciones de Productores Asesores de Seguros de la Argentina;FAPASA;13/6/2024;NO;SI;SI;SI;Vigente;31/10/2024;Agustina Decarre;31/10/2024;30639450909;OK;SI;21/2/2024;CABA;CABA;Chacabuco 77, Piso 3º (CP 1069), CABA
Cámara Argentina de Productores de Cerezas Integrados;CAPCI;13/6/2024;NO;SI;SI;SI;Vigente;4/8/2025;Alejandro Zimmermann;4/8/2025;#N/D;;SI;8/1/2024;Neuquén;Neuquén;Sarmiento 802, Neuquén, Neuquén
Cámara Argentina Diésel Afines y Nuevas Tecnologías de Propulsión Vehicular;CAD;1/8/2024;NO;SI;SI;SI;Vigente;13/9/2028;Juan Pablo Morellato;13/9/2028;30718294963;OK;SI;29/7/2024;Córdoba;Córdoba;Juan De Garay 995, Córdoba, Córdoba
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
